classCode	urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a																											
code	display	codingScheme	system	valueSet	valueSetIdentifier	deprecated	submitter	date	ref	comment	category																	
REPORTS	Reports	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
SUMMARY	Summary	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
IMAGES	Images	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
PRESCRIPTIONS	Prescribed Treatments and Diagnoses	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
DISPENSATIONS	Dispensations	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
PLANS	Treatment Plan or Protocol	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
HEALTH	Health Certificates and Notifications	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
PATIENT	Patient Expression and Preferences	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
WORKFLOWS	Workflow Management	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	moore.stephen.m@wustl.edu	2017.10.01	http://wiki.ihe.net/index.php/XDS_classCode_Metadata_Coding_System	Suggested by IHE ITI	classCode																	
57016-8	Privacy Policy Acknowledgement Document	2.16.840.1.113883.6.1	http://loinc.org			no	felhofer.lynn@gmail.com	2018.03.02		Lynn: per ITI TF-3: 5.1.2.1.1.1	classCode																	
57017-6	Privacy policy Organization Document	2.16.840.1.113883.6.1	http://loinc.org			no	felhofer.lynn@gmail.com	2019.11.12		Lynn per NPFS	classCode																	
Consent	Consent	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.02		"Lynn: for backward compatibility, per ITI TF-3: 5.1.2.1.1.1"	classCode																	
urn:oid:1.3.6.1.4.1.19376.1.2.1.1.1	Digital Signature	1.3.6.1.4.1.19376.1.2.6.1	urn:oid:1.3.6.1.4.1.19376.1.2.6.1			no	felhofer.lynn@gmail.com	2018.03.02		"Lynn: per ITI TF-3: 6.1.2.  Note that the codingScheme defined in the TF is ""URN"" which is clearly wrong.  Thus, we have used the 'connectathon' codingScheme until this is fixed via CP"	classCode																	
MPQ-classcode-1	MPQ Class Code 1	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe																									
