eventCodeList	urn:uuid:2c6b8cb7-8b2a-4051-b291-b1ae6a575ef4																											
code	display	codingScheme	system	valueSet	valueSetIdentifier	deprecated	submitter	date	ref	comment	category																	
urn:connectathon:bppc:foundational:policy	Foundational Connectathon Read-Access Policy	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:full-access	FULL ACCESS TO ALL POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:deny-access	DENY ACCESS TO ALL POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:deny-access-except-to-provider	DENY ACCESS EXCEPT TO PROVIDER POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:deny-access-to-provider	DENY ACCESS TO PROVIDER POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:deny-access-except-to-facility	DENY ACCESS EXCEPT TO FACILITY POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:deny-access-to-role	DENY TO ROLE POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
urn:connectathon:policy:full-access-to-role	FULL ACCESS TO ROLE POLICY	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.03.03	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
1.3.6.1.4.1.21367.2017.7.104	Limit-document-visibility Policy	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2018.02.23	made up codes for Connectathon testing	For APPC Connectathon testing	eventCodeList																	
MPQ-eventcode-1	MPQ-eventcode-1	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For MPQ Connectathont testing	eventCodeList																	
MPQ-eventcode-2	MPQ-eventcode-2	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For MPQ Connectathont testing	eventCodeList																	
1.3.6.1.4.1.21367.2006.7.106	OPT-OUT	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For BPPC Connectathon testing	eventCodeList																	
1.3.6.1.4.1.21367.2006.7.108	OPT-IN	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	felhofer.lynn@gmail.com	2017.11.30	made up codes for Connectathon testing	For BPPC Connectathon testing	eventCodeList																	
urn:ihe:iti:xdw:2011:eventCode:open	Open Workflow	1.3.6.1.4.1.19376.1.2.3	urn:oid:1.3.6.1.4.1.19376.1.2.3			no	felhofer.lynn@gmail.com	2018.03.03	ITI TF-3: Table 5.4.6.1-1		eventCodeList																	
urn:ihe:iti:xdw:2011:eventCode:closed	Closed Workflow	1.3.6.1.4.1.19376.1.2.3	urn:oid:1.3.6.1.4.1.19376.1.2.3			no	felhofer.lynn@gmail.com	2018.03.03	ITI TF-3: Table 5.4.6.1-1		eventCodeList																	
1.2.840.10065.1.12.1.1	Author's Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.2	Co-Author's Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.3	Co-participant's Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.4	Transcriptionist/Recorder Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.5	Verification Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.6	Validation Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.7	Consent Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.8	Signature Witness Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.9	Event Witness Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.10	Identity Witness Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
1.2.840.10065.1.12.1.11	Consent Witness Signature	1.2.840.10065.1.12	urn:oid:1.2.840.10065.12			no	felhofer.lynn@gmail.com	2018.03.02	ITI TF-3: 5.5.6.1.4  and Table 5.5.2-1	Lynn:  for DSG; note codingScheme is for ASTM	eventCodeList																	
