formatCode	urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d																											
code	display	codingScheme	system	valueSet	valueSetIdentifier	deprecated	submitter	date	ref	comment	category																	
urn:ihe:pcc:handp:2008	History and Physical Specification	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:aps:2007	IHE Antepartum Summary	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:xds-ms:2007	XDS Medical Summaries	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:xphr:2007	Personal Health Records	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:edr:2007	Emergency Department Referral (EDR)	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:edes:2007	Emergency Department Encounter Summary (EDES)	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:apr:handp:2008	Antepartum Record (APR) - History and Physical	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:apr:lab:2008	Antepartum Record (APR) - Laboratory	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:apr:edu:2008	Antepartum Record (APR) - Education	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:irc:2008	Immunization Registry Content (IRC)	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:crc:2008	Cancer Registry Content (CRC)	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
urn:ihe:pcc:cm:2008	Care Management (CM)	1.3.6.1.4.1.19376.1.2.3	http://ihe.net/fhir/ValueSet/IHE.FormatCode.codesystem	1.3.6.1.4.1.19376.1.2.7.1	urn:oid:1.3.6.1.4.1.19376.1.2.7.1	no	moore.stephen.m@wustl.edu	2017.10.03	http://hl7.org/fhir/valueset-formatcodes.html	Directly from IHE documentation	formatCode																	
