practiceSettingCode	urn:uuid:cccf5598-8b07-4b77-a05e-ae952c785ead																											
code	display	codingScheme	system	valueSet	valueSetIdentifier	deprecated	submitter	date	ref	comment	category																	
R-300E3	Accident and Emergency	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
R-20348	Cardiology	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
Practice-B	Cardiology-Old	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	Felhofer	2018.10.01		None	practiceSetting Code																	
Practice-F	Family Practice	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	moore.stephen.m@wustl.edu	2018.03.05		None	practiceSetting Code																	
R-30254	General Medicine	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
Practice-G	General Medicine-Old	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	Felhofer	2018.10.01		None	practiceSetting Code																	
Practice-J	Home	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	moore.stephen.m@wustl.edu	2018.03.05		None	practiceSetting Code																	
Practice-C	Laboratory	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	moore.stephen.m@wustl.edu	2018.03.05		None	practiceSetting Code																	
R-30263	Obstetrics and Gynecology	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
R-3025C	Ophthalmology	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
Practice-E	Ophthalmology-Old	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	Felhofer	2018.12.07		None	practiceSetting Code																	
R-3026B	Pathology	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
Practice-D	Pathology-Old	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	Felhofer	2018.10.01		None	practiceSetting Code																	
Practice-K	Pharmacy	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	moore.stephen.m@wustl.edu	2018.03.05		None	practiceSetting Code																	
R-3027B	Radiology	2.16.840.1.113883.6.96	http://snomed.info/sct	1.2.840.10008.6.1.817	urn:oid:1.2.840.10008.6.1.817	no	Felhofer	2018.10.01	RAD TF-3: Table 4.68.4.1.2.3-1	None	practiceSetting Code																	
Practice-A	Radiology-Old	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	Felhofer	2018.10.01		None	practiceSetting Code																	
Practice-L	Other	1.3.6.1.4.1.21367.2017.3	http://connectathon.ihe			no	moore.stephen.m@wustl.edu	2018.03.05		None	practiceSetting Code																	
