typeCode	urn:uuid:f0306f51-975f-434e-a61c-c59651d33983																											
code	display	codingScheme	system	valueSet	valueSetIdentifier	deprecated	submitter	date	ref	comment	category																	
11369-6	Immunization	2.16.840.1.113883.6.1	http://loinc.org			no	moore.stephen.m@wustl.edu	2018.03.05		Immunization Content	typeCode																	
11488-4	Consultation Note	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	C-CDA Consultation Note	typeCode																	
11502-2	Laboratory report.total	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	XD-LAB	typeCode																	
11504-8	Surgical Operation Note	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	C-CDA Operative Note	typeCode																	
11506-3	Progress note	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	C-CDA Progress Note	typeCode																	
11528-7	Radiology Report	2.16.840.1.113883.6.1	http://loinc.org			no	moore.stephen.m@wustl.edu	2018.03.05		XDS-I.b Text Report; XDS-I.b PDF Report	typeCode																	
18748-4	Diagnostic imaging study	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	C-CDA Diagnostic Imaging Report	typeCode																	
18761-7	Provider-unspecified Transfer summary	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	C-CDA Unstructured Document	typeCode																	
18842-5	Discharge summary	2.16.840.1.113883.6.1	http://loinc.org	2.16.840.1.113883.3.88.12.80.47	urn:oid:2.16.840.1.113883.3.88.12.80.47	no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	XDS-MS Discharge; C-CDA Discharge Summary	typeCode																	
26436-6	Laboratory Studies	2.16.840.1.113883.6.1	http://loinc.org			no	moore.stephen.m@wustl.edu	2018.03.05	https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html	Antepartum Laboratory	typeCode																	
